Type,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year
Rose,Bordeaux Rosé 2018,France,Bordeaux,Mouton Cadet,3.3,82,9.6,2018
Rose,Albia Toscana Rosé 2019,Italy,Toscana,Ricasoli,3.6,82,8.9,2019
Rose,Sancerre Rosé 2018,France,Sancerre,Michel Thomas & Fils,3.8,82,14.72,2018
Rose,Luces Tempranillo - Merlot - Syrah Rosado 2019,Spain,Somontano,Viñas del Vero,3.5,82,5.79,2019
Rose,Rosato 2017,Italy,Salento,Cantina Rosa del Golfo,3.6,82,12.9,2017
Rose,Rosé Fleuri 2019,France,Coteaux d'Aix-en-Provence,Château Barbebelle,3.9,83,8.9,2019
Rose,Côtes de Provence Rosé 2017,France,Côtes de Provence,Château des Sarrins,3.8,83,13.6,2017
Rose,Côtes de Provence Rosé 2016,France,Côtes de Provence,Domaine Pinchinat,3.7,83,13.3,2016
Rose,Amstramgram Grande Cuvée Cérès 2018,France,Languedoc,Calmel & Joseph,4,83,7.75,2018
Rose,Solidarity Rosé 2019,Spain,Cariñena,Bodegas Care,3.9,84,5.7,2019
Rose,Velue Rosé Cabernet 2018,Austria,Weinviertel,Johannes Zillinger,4,84,7.6,2018
Rose,El Viaje de Ramón Garnacha 2019,Spain,Rioja,Ramón Bilbao,3.7,86,6.75,2019
Rose,Bordeaux Rosé 2018,France,Bordeaux,Château Landonnet,3.2,87,8.78,2018
Rose,Mabilia Cirò Rosé 2018,Italy,Cirò,Ippolito 1845,3.7,87,9.5,2018
Rose,Brut Rosé (Chardonnay - Pinot Noir) 2014,South Africa,Robertson,Graham Beck,3.8,87,19.9,2014
Rose,Finca Wolffer Rosé 2019,Argentina,Mendoza,Wölffer Estate,3.9,89,14.9,2019
Rose,Conde de Valdemar Rosado 2018,Spain,Rioja,Bodegas Valdemar,3.7,89,5.8,2018
Rose,Héritage Côtes de Provence Rosé 2019,France,Provence,Estandon,3.7,90,9.85,2019
Rose,Le Rosé 2019,France,Pays d'Oc,Paul Mas,3.7,90,7.19,2019
Rose,Rosado (Tempranillo) 2018,Spain,La Mancha,Viña San Juan,3.7,91,5.75,2018
Rose,Bandol Rosé 2016,France,Bandol,Domaine de la Tour du Bon,3.7,92,38.01,2016
Rose,Rose de Nymphe Emue 2019,France,Minervois,Château Maris,3.9,95,8.72,2019
Rose,3055 Rosé 2018,Spain,Penedès,Jean Leon,3.8,95,13.37,2018
Rose,Clos Beylesse Côtes de Provence Rosé 2018,France,Côtes de Provence,Domaine de l'Abbaye,4.3,96,45,2018
Rose,Rosé de Provence 2018,France,Coteaux Varois en Provence,Fortant,3.9,96,8.2,2018
Rose,Mas Donis Rosat Montsant 2018,Spain,Montsant,Capçanes,3.5,97,6.95,2018
Rose,Rosé Messwein 2018,Austria,Niederösterreich,Stift Gœttweig,3.9,97,9.9,2018
Rose,Kadette Pinotage Rosé 2019,South Africa,Stellenbosch,Kanonkop,3.5,98,7.9,2019
Rose,Grézan Expression Faugères Rosé 2017,France,Faugères,Famille Cros Pujol,3.7,99,9.95,2017
Rose,Rosé 2018,Austria,Niederösterreich,Loimer,3.6,99,8.24,2018
Rose,No. 6 Rosé 2018,France,Côtes de Gascogne,Uby,4,100,6.49,2018
Rose,Bardolino Chiaretto 2017,Italy,Bardolino Chiaretto,Gorgo,3.6,101,7.9,2017
Rose,Pitt Nat 2019,Austria,Neusiedlersee,Pittnauer,4.1,102,18.06,2019
Rose,Idea Rosa di Primitivo 2018,Italy,Veneto,Varvaglione,3.5,102,8.5,2018
Rose,Terroir du Trias Delille Vigneron Bandol Rosé 2018,France,Bandol,Domaine de Terrebrune,4,105,25.9,2018
Rose,Rosa & Dito Bobal 2019,Spain,Utiel-Requena,Coviñas,3.8,106,4.84,2019
Rose,Chardonnay - Pinot Noir 2019,South Africa,Western Cape,Leopard’s Leap,3.7,108,7.75,2019
Rose,Rioja Rosado 2018,Spain,Rioja,Baron de Ley,3.6,108,6.5,2018
Rose,Rosa 2018,Italy,Terre Siciliane,Corvo,3.5,108,7.08,2018
Rose,Hito Rosado 2018,Spain,Ribera del Duero,Cepa 21,3.7,109,7.7,2018
Rose,Centoviti Campania Rosato 2018,Italy,Campania,Nativ,4,113,11.5,2018
Rose,Rosé Saigner 2019,Germany,Pfalz,Schneider,3.9,115,12,2019
Rose,Blush Pinot Grigio delle Venezie 2018,Italy,delle Venezie,Sartori,3.9,115,8.33,2018
Rose,Bardolino Chiaretto 2019,Italy,Bardolino,Monte del Frá,3.8,119,6.69,2019
Rose,Les Clans Rosé 2017,France,Côtes de Provence,Château d'Esclans,4.3,119,62.54,2017
Rose,Rosé 2018,Portugal,Portalegre,Porta 6,3.5,120,9.12,2018
Rose,Rioja Rosado 2019,Spain,Rioja,Ramón Bilbao,3.5,121,7.88,2019
Rose,Rosato 2019,Italy,Terre Siciliane,Calalenta,4,121,9.49,2019
Rose,Cherub (Syrah) Rosé 2019,Chile,Colchagua Valley,Montes,3.7,122,8.49,2019
Rose,Rosado (Clarete) 2018,Spain,Ribera del Duero,Protos,3.4,123,7.9,2018
Rose,Rosé de Xinomavro 2018,Greece,Naoussa,Thymiopoulos,4.2,126,13.3,2018
Rose,Clair de Rose 2017,France,Pays d'Oc,Les Jamelles,3.4,127,7.66,2017
Rose,Ribera del Duero Rosae 2018,Spain,Ribera del Duero,Arzuaga,3.8,127,12,2018
Rose,Rosé 2019,South Africa,Western Cape,Nederburg,3.8,128,6.97,2019
Rose,Rioja Rosado 2019,Spain,Rioja,Marqués de Cáceres,3.8,132,7.99,2019
Rose,Regaleali Le Rosè 2018,Italy,Terre Siciliane,Tasca d'Almerita,4,134,7.75,2018
Rose,Iirrésistible Côtes de Provence Rosé 2018,France,Côtes de Provence,Domaine de la Croix,3.9,134,12.2,2018
Rose,Visione 2019,Italy,Irpinia,Feudi di San Gregorio,4,134,12.03,2019
Rose,Pinot Rosé 2019,New Zealand,Marlborough,The Ned,3.7,134,13.85,2019
Rose,Conde de Valdemar Rosado 2017,Spain,Rioja,Bodegas Valdemar,3.6,135,8.19,2017
Rose,Grenache Rosé 2018,United States,California,Gallo Family Vineyards,3.3,137,6.3,2018
Rose,Serra Lori Isola dei Nuraghi 2018,Italy,Isola dei Nuraghi,Argiolas,3.6,138,7,2018
Rose,3055 Rosé 2017,Spain,Penedès,Jean Leon,3.8,141,14.5,2017
Rose,Negroamaro Kreos 2018,Italy,Salento,Castello Monaci,3.6,141,7.4,2018
